track name="82h_ATAC_FDR0.1_100bp_up"
description="82h_ATAC_FDR0.1_100bp_pu" color=100,50,0 useScore=1

seqnames	start	end	FDR	V12
chr3L	18257873	18258005	0.0339	97.6514183282621
chrX	6979269	6979547	0.0414	91.8845084410025
chr3R	5037253	5037380	0.0527	84.9210645582447
chr2L	9871762	9871867	0.0555	83.4273683662396
chr3L	8902454	8902559	0.0583	82.0072061269791
chr2R	11542067	11542357	0.0618	80.3249870329015
chrX	16723429	16723913	5.49e-05	283.056686504127
chr3L	180008	180374	5.51e-05	282.951763112808
chrX	9223295	9223422	0.00906	135.725464687812
chrX	21058028	21058101	0.012	127.616435678819
chr2L	10039061	10039621	9.54e-05	267.11302416412
chr2R	20382038	20382670	0.000454	222.100401640665
chr2R	22013412	22013731	0.00817	138.708964125823
chr2L	3611775	3612061	0.0138	123.583758455426
chrX	17566093	17566381	0.0315	99.7700872232434
chr3R	30789377	30789543	0.000678	210.528542123757
chr2L	5045284	5045560	0.00187	181.254920290984
chr2L	3862511	3862718	0.00281	169.504283084318
chr3L	14398550	14398804	0.0476	87.8578923248301
chr2R	24543595	24543753	0.0662	78.3404994548446
chr3L	9908400	9908674	8.02e-05	272.120764755132
chr3L	5476600	5476902	0.00118	194.539948501499
chr3R	30484710	30485108	0.00228	175.535009205441
chr2L	21330878	21331200	0.00534	150.978890854985
chrX	16421181	16421277	0.0537	84.3786820312807
chr3R	15993155	15993480	0.000769	206.894575627247
chr2L	9421492	9421698	0.0172	117.228952496947
chr3L	448060	448254	0.0597	81.3225051656929
chr2L	9157143	9157355	0.0943	68.1319683774871
chr2R	6758912	6759036	0.0126	126.208649120991
chrX	17790245	17790499	0.0186	114.971071368828
chr2L	9674477	9674637	0.0315	99.7700872232434
chr3R	28505700	28505859	0.0327	98.6913110810273
chr2R	24616882	24617067	0.0652	78.7796845063674
chr2L	9581660	9582157	2.18e-05	309.706246788692
chrX	2072320	2072550	0.000154	253.295640572585
chr3R	10571167	10571778	0.000516	218.406826278018
chr3R	6791021	6791213	0.00174	183.333939571762
chr3R	4865046	4865479	0.00181	182.195891747072
chr3R	18448780	18448972	0.00337	164.260713865099
chrX	2092334	2092557	0.00891	136.207177058298
chr3R	20234382	20234481	0.0662	78.3404994548446
chr2R	20262797	20262971	4.36e-05	289.706246788692
chrX	20693864	20694465	0.000147	254.637924489756
chr2R	9978780	9979352	0.000154	253.295640572585
chr3R	16385624	16386074	0.00118	194.539948501499
chr2R	25114321	25114540	0.00123	193.342519381951
chr2L	11635862	11636275	0.00343	163.75151416528
chr3L	5523020	5523347	0.0064	145.754247590989
chr3R	31462688	31463055	0.000549	216.618124606379
chr3R	7936810	7937288	0.00174	183.333939571762
chr3L	6998710	6998982	0.00242	173.815544743244
chr2R	21017694	21017872	0.00343	163.75151416528
chr3R	29935851	29936013	0.00454	155.661839742918
chr3R	28981174	28981483	0.00951	134.326778871525
chr3L	17918190	17918288	0.0382	94.205671030274
chr2L	13950052	13950315	0.0739	75.165636508066
chrX	2764164	2764561	0.0844	71.3322638168453
chr3L	20732710	20732909	0.0996	66.5542089496274
chr2R	11202357	11203093	0.000154	253.295640572585
chrX	5965508	5965948	0.000321	232.102781644037
chr2L	13947464	13947759	0.000442	222.873320198655
chr3R	30284258	30284648	0.00148	188.003742176157
chrX	16655544	16655674	0.0423	91.26397052859
chr3R	32068991	32069066	0.0652	78.7796845063674
chr2L	17074477	17074734	0.07	76.7300253543424
chr3R	15875731	15875874	0.0749	74.777809421814
chr3R	10432052	10433045	0.0021	177.907899135414
chr3R	6981940	6982179	0.00343	163.75151416528
chr3L	12942467	12942814	0.00501	152.819473624832
chr3R	26996759	26997039	0.0062	146.670321383251
chr2L	19895933	19896208	0.00629	146.25448535115
chr3L	3449672	3449767	0.0127	125.980553855546
chrX	14407557	14407858	0.0152	120.795697322117
chr3R	7738251	7738620	0.0168	117.907899135414
chr3R	22626885	22627255	0.0276	103.583758455426
chr3R	18635048	18635182	0.0373	94.8936111858842
chrX	16816772	16816881	0.052	85.3068913304199
chr3L	6639948	6640251	0.0828	71.8845084410025
chr2R	19188312	19188568	0.089	69.8010170739138
chr3L	20832206	20832549	0.000454	222.100401640665
chr2L	12574923	12575412	0.000615	213.342519381951
chr3R	12936642	12936955	0.000698	209.68970686229
chr3L	1987620	1987980	0.00891	136.207177058298
chr2R	24623899	24624032	0.0164	118.603207498627
chr3R	30498065	30498302	0.0232	108.594627688438
chr3R	17298948	17299134	0.0284	102.759305200895
chrX	18835164	18835339	0.0299	101.274214107027
chr3L	4618884	4619212	0.0476	87.8578923248301
chr2L	10101385	10101478	0.094	68.223908659689
chr3R	12927586	12927742	0.0943	68.1319683774871
chr2R	10658248	10658375	0.0967	67.4068060014522
chr3R	16253826	16254332	0.000419	224.415242712496
chr2R	8082838	8083102	0.000662	211.217623250339
chr3R	30498688	30499168	0.000669	210.914123373654
chr2L	6236297	6236573	0.00343	163.75151416528
chr2R	11145058	11145314	0.00567	149.248710989892
chr3L	6263013	6263191	0.0186	114.971071368828
chr2R	18062109	18062237	0.0247	106.786902959295
chr3R	30338587	30338862	0.052	85.3068913304199
chr2R	10654674	10654925	0.0652	78.7796845063674
chr2L	9485600	9485733	0.0652	78.7796845063674
chr3L	25670953	25671070	0.0955	67.7671091325268
chr3L	18078316	18078610	0.00102	198.744302649306
chr3R	30592053	30592257	0.0156	120.046203213744
chr2R	5879618	5879847	0.0718	75.997446914528
chr3R	30195570	30195901	0.000522	218.073251455086
chr2R	20545833	20546425	0.00168	184.346461033161
chr4	385212	385698	0.00459	155.34580262046
chr3R	21510981	21511373	0.00496	153.108883280999
chrX	2070523	2070696	0.00702	143.086265082645
chr3R	28011725	28012032	0.00915	135.440250825308
chrX	18367451	18367649	0.0152	120.795697322117
chr2R	19263492	19264093	0.0166	118.25345896405
chr3R	20376415	20376742	0.0207	111.884508441002
chr2R	17208008	17208115	0.0739	75.165636508066
chr2L	3386985	3387269	0.0821	72.1294793554329
chr2L	2127410	2127945	0.000454	222.100401640665
chrX	9908084	9908520	0.00467	154.847234694543
chr2L	6011113	6011420	0.0049	153.460050708685
chr2L	34742	35190	0.0059	148.101386603752
chr3L	9241285	9241573	0.00596	147.809439079493
chr3R	31017666	31017869	0.0221	109.99619640316
chr3R	8518040	8518205	0.0262	105.08578756024
chrX	22604572	22604684	0.0407	92.376547905664
chr2L	16010853	16011008	0.0487	87.1986883493421
chr3L	20036615	20036888	0.0583	82.0072061269791
chr2R	9444845	9445031	0.0626	79.9538706523366
chrX	4251712	4251889	0.0779	73.6446572297556
chr2L	6524504	6524662	0.0784	73.4600507086848
chrX	11648468	11648696	0.0821	72.1294793554329
chr3R	15030401	15030736	0.000615	213.342519381951
chr2R	11999098	11999467	0.0036	162.355747562143
chr3R	18094699	18095047	0.00546	150.337666670339
chr3R	7668607	7669045	0.00736	141.721570367596
chrX	724777	725085	0.012	127.616435678819
chr3R	30599682	30599999	0.014	123.16858725209
chr3R	11117064	11117303	0.0165	118.427803306073
chr2R	12248044	12248292	0.0196	113.460050708685
chr3L	13700953	13701343	0.0232	108.594627688438
chr2R	5416552	5416702	0.033	98.4278033060727
chr3R	30339511	30339696	0.0334	98.0801617415079
chr2L	8174181	8174523	0.0665	78.2100369832179
chr2L	9206264	9206407	0.0727	75.6380165125971
chr2R	11103102	11103365	0.0965	67.4665449478801
chr2L	2794977	2795170	0.099	66.7285532916495
chrX	20623517	20624315	0.00187	181.254920290984
chr3R	29370386	29370704	0.00496	153.108883280999
chr3R	11324173	11324898	0.00553	149.970096084042
chr3R	16715548	16715996	0.00783	139.935439542915
chr3R	8705294	8705833	0.00843	137.805033069895
chr2R	14219713	14219938	0.0107	130.924907862966
chr3L	2200014	2200431	0.0119	127.85789232483
chr2L	9984470	9984758	0.0119	127.85789232483
chrX	6385548	6385876	0.0127	125.980553855546
chr2L	9420691	9420884	0.0182	115.598354787015
chr3R	10364386	10364616	0.0244	107.139500839731
chr3R	4251363	4251571	0.0248	106.670321383251
chr2R	14908276	14908464	0.025	106.438561897747
chrX	1592209	1592392	0.0265	104.757276601978
chrX	22581852	22582143	0.0327	98.6913110810273
chr3L	18636067	18636376	0.0337	97.8221519673518
chr3L	21381860	21382080	0.0344	97.228952496947
chrX	12096717	12097071	0.0676	77.7366588653453
chr3L	18083903	18084444	0.00152	187.234259219865
chr2L	9829929	9830416	0.00493	153.283932761178
chr2L	14731255	14731530	0.00891	136.207177058298
chr2R	16377028	16377420	0.0117	128.346953199321
chrX	5801915	5802255	0.0135	124.217935649972
chr3L	5210591	5211140	0.014	123.16858725209
chr3L	10204686	10204806	0.0247	106.786902959295
chr2L	8257451	8257687	0.0265	104.757276601978
chr2R	24313181	24313389	0.0294	101.760800694262
chrX	13436037	13436305	0.0339	97.6514183282621
chr2L	8363082	8363221	0.0365	95.5191945156414
chr3R	23367952	23368297	0.0416	91.7454532281671
chr2L	3158691	3159008	0.0425	91.1278669704877
chr3R	26404804	26405123	0.0585	81.9083913015736
chr2R	6270636	6270821	0.0609	80.7482792328623
chr2R	17243401	17243650	0.0722	75.8371470532456
chr2R	11133329	11133475	0.0754	74.5858333256157
chr2L	20492133	20492406	0.0763	74.2434626542984
chr3L	3740916	3741067	0.0838	71.538118917002
chr2R	7246356	7246854	0.00341	163.920250908253
chr2L	20507707	20508154	0.00735	141.760800694262
chr2R	11536028	11536386	0.0103	132.024237047325
chr3L	18181479	18182063	0.012	127.616435678819
chr2L	4780648	4780848	0.0182	115.598354787015
chrX	5679215	5679581	0.0186	114.971071368828
chr2R	22405195	22405389	0.0186	114.971071368828
chr3R	16476753	16477529	0.0207	111.884508441002
chr2L	1808753	1808823	0.0209	111.607064949371
chr3R	17725603	17725915	0.0219	110.258506398966
chrX	3856768	3857095	0.0265	104.757276601978
chr2L	10314734	10314865	0.0406	92.4475292472855
chr3R	19628152	19628362	0.0413	91.9542881626001
chr3R	29420248	29420390	0.0413	91.9542881626001
chr2R	23241781	23242053	0.0441	90.0615506798386
chr3R	21719520	21719833	0.0493	86.8453708634308
chrX	12526584	12527071	0.0585	81.9083913015736
chr3R	566835	567088	0.0641	79.2706366586142
chr3R	21720182	21720365	0.0652	78.7796845063674
chrX	1120824	1121022	0.067	77.9939018840863
chrX	22594751	22594925	0.0677	77.6940071194891
chr3R	8981073	8981344	0.07	76.7300253543424
chrX	9439448	9439572	0.0718	75.997446914528
chrX	2774824	2775140	0.0739	75.165636508066
chr2L	14923895	14924052	0.0774	73.8304524681008
chr3R	30663795	30663900	0.0844	71.3322638168453
chr3R	18371366	18371767	0.00187	181.254920290984
chr2L	7419961	7420351	0.00187	181.254920290984
chrX	20354504	20354976	0.00402	159.171775665158
chr2R	13012570	13012910	0.00474	154.417944510771
chr2L	5999213	5999308	0.00501	152.819473624832
chr3L	2964731	2965250	0.00549	150.179562708632
chr2R	18304193	18304581	0.00817	138.708964125823
chr3L	14872261	14872617	0.00891	136.207177058298
chrX	19322406	19322707	0.0095	134.35713542437
chr3R	11146906	11147130	0.0186	114.971071368828
chr3L	39999	40776	0.0189	114.509399106568
chr3R	16983046	16983388	0.0207	111.884508441002
chr3R	13357019	13357384	0.0232	108.594627688438
chr3L	16976132	16976385	0.0284	102.759305200895
chr3R	31031935	31032445	0.0287	102.456109057475
chr2R	19215423	19215598	0.0294	101.760800694262
chr3L	602474	602693	0.0324	98.9572475332965
chr2R	17086021	17086309	0.033	98.4278033060727
chr3L	22613358	22613583	0.0443	89.9309898198886
chr3L	17781064	17781311	0.0772	73.9051068456274
chr2R	14543597	14543712	0.088	70.1270533204958
chr3R	30270299	30271761	0.00406	158.886091145033
chr2R	20189869	20190717	0.00494	153.225464857043
chr2R	8964310	8964602	0.00553	149.970096084042
chr2L	7420890	7421394	0.00565	149.350668342685
chr3R	30329601	30330546	0.00758	140.871728725314
chrX	22758410	22758896	0.0103	132.024237047325
chrX	4599730	4600354	0.0127	125.980553855546
chrX	9912887	9913184	0.0135	124.217935649972
chr2R	13964358	13964856	0.0142	122.759305200895
chr2R	6822629	6822920	0.0162	118.957247533296
chr3L	13674438	13674587	0.0175	116.730025354342
chr2R	13389390	13389847	0.0186	114.971071368828
chr3R	13974934	13975137	0.0232	108.594627688438
chr3R	24973097	24973559	0.0232	108.594627688438
chrX	5232061	5232373	0.0297	101.467865174974
chr3L	14857174	14857606	0.0312	100.046203213744
chr2R	5693201	5693601	0.0357	96.158642310407
chrX	3909765	3910123	0.0374	94.8163583932362
chrX	10742203	10742369	0.0414	91.8845084410025
chr2R	17244019	17244295	0.0437	90.324458200977
chr3L	5249152	5249436	0.0465	88.5325094710811
chr2R	7254642	7254950	0.0465	88.5325094710811
chr3L	7863324	7863420	0.0799	72.9132137324295
chr3L	7862406	7862602	0.0965	67.4665449478801
chr3R	5502696	5503031	0.00567	149.248710989892
chr2R	20316912	20317054	0.00662	144.779061352592
chrX	2685435	2685646	0.0111	129.865930263987
chr3R	16913520	16913882	0.0126	126.208649120991
chr2R	17127873	17128366	0.0131	125.08578756024
chr2R	15729169	15729460	0.0137	123.793605931778
chrX	13906355	13906687	0.014	123.16858725209
chr3R	8334406	8334747	0.0204	112.305740751559
chr2R	23716018	23716293	0.0271	104.111266763912
chr3R	29370993	29371329	0.0278	103.375426136519
chr2R	1441486	1441744	0.0281	103.06572118657
chr3R	8119731	8120185	0.0285	102.657885409947
chr3L	13593406	13593882	0.0285	102.657885409947
chr2L	2713488	2713877	0.0296	101.56518027841
chrX	19788747	19789045	0.0324	98.9572475332965
chr2L	8266777	8267027	0.0359	95.997446914528
chr2L	17985960	17986197	0.0382	94.205671030274
chrX	7166683	7166787	0.0382	94.205671030274
chrX	9078386	9078701	0.0407	92.376547905664
chr3L	8768192	8768338	0.0423	91.26397052859
chr3L	6262627	6262784	0.044	90.1270533204958
chrX	5150777	5150982	0.0454	89.2232778451707
chrX	14487716	14487866	0.057	82.6578854099469
chr3L	21415397	21415609	0.081	72.5186856355492
chr3L	17618446	17618602	0.0958	67.6766106762654
chr3R	13173079	13173605	0.0103	132.024237047325
chrX	6997305	6998065	0.0137	123.793605931778
chr2L	8943197	8943412	0.0138	123.583758455426
chr2R	10265793	10266167	0.0163	118.779684506367
chr2R	23042904	23043466	0.0248	106.670321383251
chr2L	9626152	9626535	0.0248	106.670321383251
chrX	10571811	10572248	0.0265	104.757276601978
chr2L	11726708	11727287	0.0322	99.1359100286967
chr2L	18995887	18996265	0.0414	91.8845084410025
chr3L	22094448	22094817	0.0441	90.0615506798386
chr2R	22268156	22268473	0.0465	88.5325094710811
chr2L	4891782	4892399	0.0508	85.9805538555457
chrX	6071374	6071683	0.0538	84.3250003398565
chr3R	31741538	31741640	0.0557	83.3235772441884
chrX	144416	144713	0.0749	74.777809421814
chrX	11192840	11193036	0.078	73.6076413159968
chr3R	20634279	20634345	0.0784	73.4600507086848
chr3R	16627780	16628127	0.0863	70.6899126074099
chr3L	19004269	19004401	0.0884	69.9961964031604
chr3L	11303316	11303913	0.00817	138.708964125823
chrX	18365997	18366720	0.0134	124.432463781834
chr2L	23315059	23315565	0.0135	124.217935649972
chrX	18832482	18832707	0.0211	111.332263816845
chrX	1543538	1543632	0.0229	108.97017182905
chr3R	11449497	11450205	0.0265	104.757276601978
chrX	8569018	8569351	0.0265	104.757276601978
chr2R	18934582	18934823	0.0269	104.325000339857
chrX	1700495	1700578	0.0334	98.0801617415079
chr3R	18518454	18518850	0.0338	97.7366588653453
chr2L	6271285	6271893	0.0339	97.6514183282621
chr2R	7372557	7372844	0.0414	91.8845084410025
chrX	21214771	21214962	0.052	85.3068913304199
chrX	5150525	5150633	0.0538	84.3250003398565
chr2L	59262	59455	0.0684	77.397197293271
chr2R	23316418	23316697	0.0758	74.4331668275671
chr2R	23288452	23289137	0.0794	73.0943436481298
chr2L	3534045	3534540	0.081	72.5186856355492
chr2R	24140721	24140927	0.0896	69.6071491498369
chr3L	11593718	11593830	0.0965	67.4665449478801
chr3R	13549871	13550340	0.099	66.7285532916495
chr2R	6605766	6606195	0.016	119.315685693242
chr3L	5952511	5952994	0.0182	115.598354787015
chr2L	5705492	5705794	0.0205	112.16464560088
chr3L	9573612	9574360	0.0219	110.258506398966
chr2R	22515637	22516035	0.0228	109.096447307694
chr2R	10656173	10656436	0.0269	104.325000339857
chr2R	15246712	15247212	0.0284	102.759305200895
chr3R	11303711	11303922	0.0309	100.324987032902
chr3L	13295556	13295800	0.0387	93.8304524681008
chrX	13087557	13087744	0.0558	83.2718213544052
chr3L	648344	648580	0.0585	81.9083913015736
chrX	14714814	14715213	0.063	79.7700872232434
chr2R	20541651	20541808	0.0652	78.7796845063674
chr3L	11297387	11297620	0.0676	77.7366588653453
chr3R	20068556	20069273	0.0687	77.270921814627
chrX	21090571	21090734	0.0691	77.1034095832238
chr3R	7370660	7370940	0.087	70.4568157762672
chrX	20985817	20986023	0.087	70.4568157762672
chr2R	24981089	24981346	0.099	66.7285532916495
chr3R	8506446	8506948	0.012	127.616435678819
chr2R	15835815	15836348	0.0144	122.355747562143
chr3R	21380517	21380910	0.016	119.315685693242
chrX	10209565	10209882	0.0166	118.25345896405
chrX	2775483	2775802	0.0186	114.971071368828
chr3R	30358521	30359235	0.0219	110.258506398966
chr3R	16151350	16151572	0.0269	104.325000339857
chr3L	9763469	9763981	0.0284	102.759305200895
chr3R	30483099	30483512	0.0296	101.56518027841
chr3L	7828013	7828496	0.0298	101.370877181746
chr2R	5676900	5677362	0.0321	99.2256578485429
chr2L	9797199	9797419	0.0443	89.9309898198886
chr3L	3785985	3786252	0.0493	86.8453708634308
chr3R	7102886	7103903	0.0593	81.5164817000689
chr2R	4013975	4014161	0.0613	80.5593823171734
chrX	21103399	21103645	0.0619	80.2783356067037
chr3L	16476968	16477630	0.063	79.7700872232434
chrX	11528922	11529321	0.0652	78.7796845063674
chrX	9692730	9692913	0.0652	78.7796845063674
chr2L	19413985	19414210	0.0676	77.7366588653453
chr2R	23725759	23726191	0.0678	77.6514183282621
chrX	7781843	7782119	0.0715	76.118258957674
chr3R	25723754	25723907	0.0716	76.0779320457039
chr2L	10539597	10539777	0.0742	75.0487400585729
chr2L	11736944	11737193	0.0799	72.9132137324295
chr2L	8534469	8534829	0.0922	68.7817887824022
chr3L	21914368	21914607	0.0926	68.6568799257843
chrX	20066105	20066538	0.0152	120.795697322117
chr2R	11637501	11637785	0.0154	120.418516777091
chr3R	25369098	25369843	0.018	115.917185664396
chr3R	30879719	30879793	0.0207	111.884508441002
chr2L	510403	511062	0.0265	104.757276601978
chr2R	25115215	25116129	0.0268	104.432463781834
chr3L	19665435	19665701	0.0296	101.56518027841
chrX	2071734	2072202	0.0361	95.8371470532456
chr3L	391261	391787	0.0387	93.8304524681008
chrX	2683230	2683420	0.0398	93.021755180116
chr3L	14272193	14272433	0.0451	89.4145751258814
chr2R	22047891	22048218	0.0493	86.8453708634308
chrX	12981328	12981718	0.0662	78.3404994548446
chr2R	20517810	20518250	0.0676	77.7366588653453
chr2L	21341715	21342024	0.0699	76.7712746834803
chr3L	1002838	1003069	0.0774	73.8304524681008
chr3R	9029347	9029718	0.0784	73.4600507086848
chr3R	7565032	7565439	0.0793	73.1307064769094
chr2L	9030615	9030818	0.0807	72.6257503254334
chr2L	12613003	12613441	0.0838	71.538118917002
chr3R	5606768	5606924	0.0844	71.3322638168453
chr2L	14035422	14035584	0.087	70.4568157762672
chr2L	18051007	18051152	0.0929	68.5635518633359
chrX	1725794	1726072	0.0967	67.4068060014522
chr3R	31169041	31169212	0.0996	66.5542089496274
chr3L	6049401	6049514	0.0999	66.4674302351406
chr2L	9879619	9880187	0.0142	122.759305200895
chrX	19297769	19298221	0.0154	120.418516777091
chr3L	19781737	19782248	0.02	112.877123795494
chr3R	8914651	8915239	0.0219	110.258506398966
chr3R	16210198	16210332	0.0244	107.139500839731
chr3L	7027580	7028057	0.0256	105.754247590989
chr3L	9905883	9906139	0.0271	104.111266763912
chr2L	3606527	3607412	0.0294	101.760800694262
chr2L	5080722	5081107	0.0337	97.8221519673518
chr2L	16683635	16684195	0.0361	95.8371470532456
chr4	1272197	1272570	0.0361	95.8371470532456
chr3L	18073729	18073956	0.0482	87.4964608663898
chr2R	1345515	1345674	0.0493	86.8453708634308
chr2L	17157333	17157655	0.0507	86.0374088509222
chrX	1543121	1543329	0.0561	83.1171083788131
chr3R	14142953	14143116	0.0569	82.7085507448574
chr3R	29876121	29876548	0.0577	82.3056974180793
chrX	7293028	7293191	0.0585	81.9083913015736
chr2R	16302643	16302861	0.0593	81.5164817000689
chr2R	19645717	19645916	0.0597	81.3225051656929
chr3L	15064863	15065199	0.0636	79.4965884853019
chrX	20687143	20687816	0.0662	78.3404994548446
chr2R	5702429	5702587	0.0676	77.7366588653453
chrX	18404634	18404829	0.0742	75.0487400585729
chr2R	11998214	11998718	0.0742	75.0487400585729
chr2R	13696871	13697087	0.0776	73.7559907472464
chr2L	17005227	17005452	0.0815	72.3411226086202
chr3L	2987909	2988233	0.0844	71.3322638168453
chr3L	20982945	20983361	0.0922	68.7817887824022
chr2L	11288371	11288669	0.0949	67.9489620505668
chrX	17561084	17561274	0.0965	67.4665449478801
chr2L	13632075	13632545	0.0114	129.096447307694
chr3R	8357619	8357934	0.0299	101.274214107027
chr2L	18737293	18737703	0.033	98.4278033060727
chr2L	11113366	11113817	0.0334	98.0801617415079
chr2L	7398657	7398862	0.0357	96.158642310407
chr2R	17911164	17911432	0.0387	93.8304524681008
chrX	19321763	19322214	0.041	92.1646456008801
chrX	16384310	16384495	0.0416	91.7454532281671
chr3R	30312408	30313245	0.044	90.1270533204958
chr3L	1011743	1011939	0.0458	88.9701718290501
chr3R	15596834	15597137	0.0465	88.5325094710811
chr2R	13772965	13773288	0.0618	80.3249870329015
chrX	684849	685183	0.0644	79.1359100286966
chr3R	29613418	29613898	0.0676	77.7366588653453
chr3R	25710534	25711204	0.0722	75.8371470532456
chr3L	12791061	12791253	0.0769	74.0174518317525
chrX	20973389	20973823	0.0793	73.1307064769094
chr2L	3540044	3540326	0.0816	72.3057407515591
chr2L	6082350	6082619	0.0879	70.1598604881209
chr3R	6252942	6253337	0.0896	69.6071491498369
chr3R	19190674	19190798	0.0917	68.9386891190879
chr3R	10904290	10904767	0.0304	100.795697322117
chr3L	22499676	22499956	0.0334	98.0801617415079
chrX	17565456	17565730	0.0342	97.397197293271
chr2L	9275358	9275772	0.0359	95.997446914528
chrX	20266601	20267105	0.0391	93.5337516448419
chr3L	7203954	7204393	0.0407	92.376547905664
chr3L	5248293	5248620	0.0413	91.9542881626001
chr2R	15641044	15641443	0.044	90.1270533204958
chr2L	4757229	4757516	0.044	90.1270533204958
chr2L	7419693	7419863	0.052	85.3068913304199
chr2L	19824602	19825422	0.0558	83.2718213544052
chr3R	18108568	18108654	0.0684	77.397197293271
chr3R	32071380	32071592	0.0806	72.6615270204296
chr2R	16565194	16565666	0.081	72.5186856355492
chr4	505167	505791	0.0824	72.0242370473246
chr2R	13365430	13365730	0.0851	71.0939411572697
chr3R	29034500	29034628	0.089	69.8010170739138
chrX	4462686	4463228	0.0892	69.7362495925829
chr3R	29611949	29612135	0.0965	67.4665449478801
chrX	9825794	9826152	0.0971	67.2876978826051
chrX	14730932	14731380	0.0994	66.6122067597433
chr2L	7516198	7516782	0.0996	66.5542089496274
chr2R	21886842	21887450	0.0232	108.594627688438
chr2L	18468279	18469080	0.0299	101.274214107027
chr2R	12957499	12958131	0.035	96.7300253543424
chr2R	13287545	13288077	0.0386	93.9051068456274
chrX	2795998	2796780	0.0441	90.0615506798386
chr2R	24621308	24621719	0.0465	88.5325094710811
chr3L	13646144	13646436	0.0466	88.4705246979034
chrX	13574696	13575172	0.051	85.8671788538118
chr2L	6085682	6085897	0.0558	83.2718213544052
chr2L	14838523	14838907	0.0562	83.0657211865705
chr2R	20853600	20853964	0.0576	82.3557475621428
chr2L	8686160	8686282	0.0589	81.7117711143798
chr2R	18063536	18063810	0.0631	79.724323691338
chr3L	9382971	9383246	0.0631	79.724323691338
chr2R	10124721	10125140	0.0636	79.4965884853019
chrX	10822196	10822387	0.0665	78.2100369832179
chr2L	11112908	11113189	0.0684	77.397197293271
chr2L	8042804	8043004	0.0715	76.118258957674
chr3R	16923604	16923889	0.0824	72.0242370473246
chr3R	7743456	7743898	0.0844	71.3322638168453
chr2L	2390979	2391220	0.0873	70.3574907184002
chr2L	6899352	6899763	0.0965	67.4665449478801
chr2R	15604302	15605122	0.0265	104.757276601978
chr2R	9933780	9934260	0.0284	102.759305200895
chr3R	4450840	4450951	0.0317	99.5874669882008
chrX	15249762	15250346	0.0324	98.9572475332965
chr3R	14401364	14401765	0.0339	97.6514183282621
chr2L	6302318	6302667	0.0359	95.997446914528
chr3R	5043885	5044278	0.0416	91.7454532281671
chr2R	9679767	9680269	0.0423	91.26397052859
chr2R	20916202	20916330	0.0427	90.9924023985792
chr3R	13130828	13131117	0.0506	86.0943760971028
chr3R	15639061	15639547	0.0605	80.9384209477498
chr2R	20484509	20484921	0.0619	80.2783356067037
chr2R	7045664	7046029	0.0631	79.724323691338
