seqnames	start	end	FDR	V12
chrUn_DS483918v1	673	767	1.84e-05	314.59869416309
chr2L	4063957	4064100	3.55e-22	1425.09198125809
chrUn_DS484751v1	631	767	7.84e-11	671.40710778841
chr3L	10287141	10287770	2.12e-87	5758.47359980824
chr2L	3950360	3951101	3.74e-64	4214.00719605357
chr2R	10415078	10415667	2.34e-49	3230.95936239344
chrUn_DS484004v1	319	599	3.71e-13	825.872920933793
chr3L	5101481	5102249	7.34e-35	2267.83406515978
chr2L	891410	891540	3.06e-29	1894.44766197631
chr2R	15604483	15604692	7.6e-18	1137.37412578833
chr3R	8506516	8506915	1.82e-16	1045.73822135548
chrUn_CP007077v1	34024	34384	2.34e-09	573.416886483552
chr3R	30551092	30551358	4.56e-25	1617.18337095588
chr2L	4746684	4747275	5.63e-45	2939.87258695252
chr3R	14983241	14983685	5.71e-31	2009.3256039184
chr3R	505624	506015	1.1e-09	595.196986604727
chr3L	5072003	5072386	8.06e-40	2597.32687913483
chr2L	20604869	20605177	1.14e-42	2786.63892321758
chr2L	16672557	16672842	2.9e-39	2560.38285600734
chrUn_DS484277v1	833	1013	4.04e-10	624.098513117931
chrX	12779831	12780070	3.17e-36	2358.49857151161
chr3L	18180406	18180781	3.44e-36	2356.14005702035
chr2L	17827169	17827360	1.65e-27	1779.39185074975
chrX	1969198	1969691	5.79e-15	945.907161501918
chrUn_CP007075v1	2228	2371	1.03e-07	464.217046536061
chrUn_DS483944v1	1362	1611	1.97e-05	312.628896895103
chr3L	18442197	18442688	3.61e-42	2753.37962296314
chr3R	20155446	20155778	7.77e-40	2598.38418393723
chr3R	8455562	8456037	1.47e-32	2114.91765762668
chr3R	12933068	12933166	3.13e-19	1229.40942291404
chr3R	11330	11539	3.87e-08	492.461823854584
chrX	5934487	5934830	2.17e-40	2635.18857505649
chrX_DS485514v1_random	547	621	4.82e-09	552.56639415062
chr3L	20869501	20869764	8.47e-35	2263.70242703
chr3R	30978866	30979106	1.42e-32	2115.91616213331
chr2L	1860158	1860299	5.58e-23	1478.4816212071
chr2L	12212179	12212529	6.98e-43	2800.79362087443
chrUn_DS483944v1	2256	2440	2.89e-05	301.571419634217
chr2L	891653	892158	5.99e-47	3070.96128913384
chr3L	5091723	5092363	1.86e-43	2838.95210917647
chr3L	7055509	7055813	1.58e-40	2644.34398474184
chr2R	3066425	3066548	4.36e-19	1219.84611335715
chr3R	266395	266543	1.33e-14	921.911341653932
chrUn_DS483641v1	11308	11461	3.2e-08	497.947057079725
chrX_DS484633v1_random	391	489	3.32e-06	364.007706555039
chr2L	9190085	9190765	1.54e-83	5501.94203049462
chr3R	26371193	26371951	5.03e-56	3673.94829827323
chr2L	17884848	17885533	6.07e-55	3602.08697404648
chr2L	18347076	18347497	3.58e-45	2952.93609364884
chr3R	22275887	22276001	2.56e-28	1833.15685693242
chr3R	18509100	18509377	4.7e-17	1084.8023371259
chrUn_DS484255v1	841	949	8.89e-10	601.341950596372
chr3L	20090065	20090641	1.08e-36	2389.56760207113
chr3R	26201764	26202061	1.59e-35	2311.96913111096
chr3L	10169211	10169585	1.94e-34	2239.78997147516
chrX	10196617	10196873	3.92e-31	2020.17834574335
chr3R	10237761	10238177	2.96e-27	1762.52922772209
chr2L	13313655	13314149	1.04e-46	3055.04217672905
chr2R	18028208	18028429	1.13e-29	1923.19183958186
chr3R	18797658	18797838	1.93e-25	1641.99203049381
chr3R	18002128	18002229	3.31e-20	1294.2346136143
chr3R	27767462	27767881	1.36e-41	2715.10890477813
chr3R	30557451	30557734	3.3e-24	1560.07616505651
chr2L	4703285	4703607	2.51e-16	1036.46324308043
chr2R	20780478	20780637	1.32e-12	789.251984181292
chrX	980332	980590	2.19e-27	1771.22255384265
chr3R	5834235	5834389	4e-23	1488.08692364819
chrX_DS483818v1_random	297	410	4.25e-19	1220.58341923219
chr2L	2902352	2903036	5.66e-70	4600.68329178116
chr2L	1778611	1779035	2.23e-58	3830.29571586643
chr2R	10089090	10089669	2.16e-41	2701.76041155986
chr2R	11128536	11128779	1.71e-28	1844.7998066347
chr3R	17260209	17260591	5.42e-23	1479.3210666166
chr3L	21415466	21415604	1.04e-22	1460.51669118311
chr3R	19431943	19432199	3.49e-18	1159.82957343075
chr3R	506532	506723	2.71e-06	369.865514354901
chr3R	18348846	18349147	9.37e-39	2526.54293305445
chrX	15288418	15288649	1.07e-32	2124.08176479538
chr2L	5696926	5697185	2.06e-28	1839.42684638875
chr2L	13431941	13432198	2.2e-28	1837.52966266192
chr3R	15650030	15650383	2.13e-23	1506.26985503916
chr2L	17211176	17211489	1.22e-39	2585.36629105638
chr2R	10380004	10380474	1.67e-36	2376.99126626491
chr3R	22911302	22911544	1.31e-34	2251.11976828815
chr2R	10414553	10414800	4.28e-34	2216.95888859088
chr3L	4716361	4717137	4.85e-32	2080.47428578192
chr3R	18458701	18458960	5.88e-31	2008.47909572893
chr2L	18241406	18241723	1.34e-29	1918.27363502101
chrX	6413565	6413967	1.44e-29	1916.19691880132
chr3R	31066840	31067201	2.5e-23	1501.64836175044
chr2L	1798691	1799044	9.78e-63	4119.83271025453
chr2L	10785631	10786136	1.25e-41	2717.54247590989
chr3R	27774957	27775302	1.89e-39	2572.73618932322
chr3R	12575830	12576278	4.23e-30	1951.54370366551
chr3R	18998242	18998454	2.56e-29	1899.59541883016
chr3L	5334838	5335099	7.66e-25	1602.21715960068
chr2R	17655257	17655770	4.2e-23	1486.67913709036
chrX	8109069	8109339	5.9e-23	1476.8726245587
chr2R	17938421	17939033	8.18e-17	1068.81353539836
chrX	7205722	7206381	2.26e-52	3431.27876323005
chr3L	13359740	13360289	3.16e-45	2956.53679423058
chr3R	11851165	11851341	1.03e-39	2590.25102726397
chrX	8939772	8939944	3.15e-27	1760.73413466692
chr2R	21405290	21405537	1.02e-24	1593.954102502
chr2R	19093170	19093735	4.37e-23	1485.53425805367
chr3R	18797933	18798126	6.77e-22	1406.46524507443
chrX	1968723	1968998	1.77e-12	780.787755566802
chrUn_DS483746v1	3578	3827	3.54e-07	428.594946078065
chr3R	173712	173851	7.72e-07	406.097916334364
chr3R	21122749	21123497	4.45e-79	5205.57028320045
chr2R	23712768	23713169	3.26e-50	3287.83065559824
chr3R	24074010	24074541	3.38e-50	3286.78762995721
chr2L	6884997	6885782	1e-38	2524.6653521144
chr3L	4586017	4586347	3.13e-27	1760.91791809602
chrX	12307107	12307331	1.1e-24	1591.77541507094
chrX	6936629	6936730	9.84e-24	1528.55231923464
chr3R	25406436	25406735	1.8e-39	2574.14397588104
chr3L	3480605	3480845	2.62e-35	2297.5583301859
chr2R	22957937	22958397	4.01e-31	2019.52337409656
chrX	2903411	2903606	6.48e-25	1607.04417118148
chrX	10146964	10147198	2.35e-24	1569.87227041013
chr3L	15431444	15431661	4.91e-22	1415.73390125964
chr3R	12195367	12195811	1.5e-20	1317.07198794052
chrX	17438350	17439092	5.76e-50	3271.40671865401
chr3R	17291961	17292299	1.15e-36	2387.75555109551
chr2R	22018235	22018640	1.46e-34	2247.9917371413
chr2L	15620020	15620315	1.15e-30	1989.12417970902
chr3R	20494609	20494866	7.64e-30	1934.4854041672
chr3R	30359330	30359450	1.47e-29	1915.60197193344
chr3R	10952623	10952876	8.92e-29	1863.57742083176
chr3R	30556759	30557129	5.19e-27	1746.32648046751
chr3R	5914184	5914533	6.72e-26	1672.43338468135
chrX	10911409	10911528	2.28e-24	1570.74480905813
chr3R	15059629	15059904	7.3e-24	1537.16755626608
chr2R	14580170	14580518	5.28e-20	1280.76047936327
chr3L	7078041	7078156	1.41e-19	1252.41877280472
chr2R	20351788	20351975	5.73e-19	1211.96197327755
chrX	5471566	5471718	2.36e-11	706.048443683477
chr2L	12990954	12991588	4.32e-63	4143.4087733103
chr3L	10102667	10102980	1.6e-36	2378.22679021665
chr3L	20740466	20740820	4.12e-35	2284.49677967298
chr2L	7770940	7771357	1.15e-27	1789.80849401578
chr2L	9361770	9362044	5.07e-27	1747.0014562946
chr3L	2900711	2901000	6.14e-26	1675.03783622952
chr2L	15558342	15558912	5.14e-20	1281.53587076656
chr3R	29949782	29949926	1.26e-18	1189.22563948495
chrUn_DS484148v1	1552	1638	4.36e-08	489.021932481934
chrX_DS485941v1_random	293	379	3.81e-07	426.474113329859
chr2R	18028637	18029003	3.61e-52	3417.76524194061
chr2L	19880550	19880962	1.69e-37	2443.0863252865
chr3R	20428987	20429400	3.46e-31	2023.77997807292
chr2L	4243843	4244085	4.94e-30	1947.06663609622
chr3R	29450589	29451014	1.8e-28	1843.31979500582
chr3L	5535737	5536035	8.97e-27	1730.53901153628
chr3L	17783731	17783954	3.62e-14	893.020072622292
chr3L	27008337	27008483	4.89e-09	552.150367776175
chrUn_DS485331v1	348	457	3e-05	300.493559474313
chr2R	20682163	20682695	5.04e-40	2610.87400123539
chr2R	17922877	17923250	9.38e-37	2393.63503176184
chrX	20906162	20906667	2.03e-35	2304.92007187294
chr3R	18343640	18344147	5.87e-34	2207.8438944567
chr3L	18352402	18352741	2.34e-28	1835.74956254075
chr3L	8011605	8011944	3.62e-28	1823.15993919075
chr3R	30979342	30979582	4.67e-23	1483.61847264949
chrX	10978584	10978767	2.42e-22	1436.14822080044
chr2L	9029271	9029473	8.84e-22	1398.76743435811
chr2R	16979901	16980026	5.96e-20	1277.2649913412
chrUn_DS483961v1	2145	2285	2.3e-14	906.107189345068
chr2L	1828109	1828899	3.25e-51	3354.35786242229
chr2L	11864262	11865042	5.78e-43	2806.23677174861
chr3R	18843161	18843566	2.69e-27	1765.28904778354
chr3L	7223662	7223811	4.11e-21	1354.42703197455
chr3R	123500	123618	1.48e-07	453.757989767146
chr3R	505173	505295	1.71e-07	449.590006782007
chr3L	13358925	13359406	2.26e-45	2966.20882994582
chrX	12182190	12182581	7.21e-42	2733.41961451606
chr3R	20719052	20719338	4.6e-35	2281.31698919776
chr3R	26324562	26324889	3.74e-28	1822.21896773466
chr3L	12249998	12250361	1.61e-24	1580.78427177914
chr3L	2287169	2287591	1.78e-24	1577.8879407221
chr2L	4071838	4072041	8.83e-22	1398.80009299296
chr2R	21114686	21115175	4.64e-21	1350.92730374564
chr3L	7307084	7307250	2.51e-20	1302.21749067142
chr3L	9239163	9239542	1.17e-18	1191.36394356328
chrUn_CP007075v1	975	1344	1.13e-05	328.666354035927
chr3L	21251297	21251840	4.75e-51	3343.40810651624
chr2R	22004467	22004824	1.47e-41	2712.8647147064
chr2L	13466107	13466698	1.95e-40	2638.27299343039
chr2L	15952298	15952856	1.83e-34	2241.47423155322
chr3L	10054866	10055335	2.07e-31	2038.60280347567
chr3R	28954184	28954835	1.19e-30	1988.13762546175
chr3R	27354980	27355550	2.67e-28	1831.94293829867
chr3R	20152741	20153022	1.11e-24	1591.51429201443
chr2L	4144145	4144392	2.43e-21	1369.59067357607
chr2L	15560355	15560611	4.18e-21	1353.93974100657
chr3R	11187109	11187447	7.78e-18	1136.69871105522
chr2R	19885911	19886033	3.84e-13	824.879178451786
chrX_DS484669v1_random	54	139	8.06e-07	404.854336509166
chr2L	20563715	20564262	5.71e-48	3138.78115618011
chr3L	22569116	22569447	1.49e-36	2380.28198170515
chr2R	11188884	11189297	1.7e-32	2110.72328580065
chr3R	21900524	21901133	1.23e-31	2053.62225251887
chr3R	17982044	17982368	1.81e-27	1776.72137729301
chr3R	31349466	31349576	6.11e-26	1675.17916174055
chrX	20978337	20978636	4.6e-21	1351.1771226293
chr3R	17264417	17264584	1.65e-19	1247.88335556778
chr2R	16526745	16526853	2.1e-19	1240.92488949937
chrX	8976881	8977113	5.59e-18	1146.23714849808
chr3L	17781554	17781808	3.19e-14	896.668738088659
chrX_DS483803v1_random	2573	2698	5.2e-14	882.569634103387
chr3L	19418551	19418733	2.48e-13	837.494502258471
chrUn_DS483724v1	1628	1824	6.35e-09	544.611925242029
chrUn_DS483880v1	822	1007	4.91e-05	286.278348997937
chr3R	28133491	28133980	4.01e-55	3614.04885964249
chr2L	5663687	5664544	5.28e-31	2011.58466023849
chr2L	11922610	11923093	7.82e-31	2000.25204667951
chr3R	14550560	14551091	4.5e-30	1949.75835690357
chr3R	31290482	31290729	6.26e-27	1740.91791809602
chr2L	9061216	9061699	1.18e-25	1656.18831025194
chr4	1296024	1296141	2.7e-20	1300.11204980942
chr2L	17904218	17904497	1.36e-18	1187.02198112994
chr3L	5054392	5054672	6.6e-17	1075.00623177228
chr2L	9109699	9109806	1.3e-16	1055.44675789888
chr3R	11486831	11486955	1.92e-13	844.879178451786
chr3R	18493022	18493343	7.05e-13	807.348839520486
chrUn_DS483944v1	896	1198	4.57e-07	421.226049978564
chr3L	7745983	7746433	1.54e-38	2512.20674509599
chr2R	15588325	15588984	9.16e-38	2460.75840014795
chrY_CP007111v1_random	21168	21554	3.12e-33	2159.64162204391
chr2R	20349348	20349803	1.53e-32	2113.76334766955
chr3R	18344385	18344659	1.03e-25	1660.11116069551
chrX	11191102	11191426	1.96e-21	1375.79272676588
chr3R	20790769	20790911	3.63e-20	1291.57184699052
chr2L	11628097	11628380	4.61e-20	1284.67590294185
chr3R	25778915	25779300	3.56e-17	1092.81800743787
chr2R	21273190	21273302	4.07e-17	1088.95497637187
chr3R	30630829	30631023	3.34e-15	961.781466412222
chrUn_DS484004v1	2507	2586	6.04e-07	413.178962293224
chrUn_DS483641v1	3801	3877	1.79e-05	315.393617738946
chr2R	17295995	17296518	6.6e-51	3333.91733629569
chr3R	28145417	28145790	1.6e-40	2643.98103780764
chr2R	15449175	15449927	2.81e-36	2361.97682570998
chr2L	4173668	4174175	2.31e-33	2168.31468559283
chr2L	17937278	17937751	1.63e-32	2111.93654143878
chr2L	9756242	9756523	3.9e-27	1754.57168875968
chrX	10418668	10419332	3.63e-25	1623.76465647926
chr2L	18266494	18267026	1.68e-24	1579.55626088585
chr2L	15618943	15619322	5.17e-24	1547.12219993513
chr3R	13166189	13166321	1.03e-21	1394.35691310452
chrX	3622668	3622863	6.25e-21	1342.3326760572
chrX	18748458	18748757	2.44e-20	1303.03361499918
chr3L	17224395	17224715	2.93e-18	1164.8761008665
chrX	2837900	2838076	1.68e-17	1114.48632760162
chr2R	23128398	23128538	2.07e-17	1108.46293690721
chr3R	13179771	13179976	2.72e-16	1034.14485733444
chr3R	15007688	15007860	5.82e-12	746.442359710296
chr2R	15446558	15447242	2.6e-49	3227.91930052454
chr3R	26496040	26496468	2.82e-44	2893.3828202484
chrX	1426050	1427043	3.58e-43	2820.05896985334
chr3R	23543577	23543884	1.66e-37	2443.6031253852
chr3R	29956809	29957281	8.31e-37	2397.12982067674
chr3L	5999872	6000330	1.25e-35	2318.91110452341
chr3R	22316121	22316680	1.73e-34	2243.09566376617
chr3L	2901575	2901844	2.46e-27	1767.86800492789
chr3R	18511414	18511873	2.78e-27	1764.3394735802
chr3L	14816957	14817164	5.27e-26	1679.44655010418
chr3R	22655430	22655686	7.16e-25	1604.16485569389
chr3L	17491409	17491808	1.34e-23	1519.64226363453
chr3L	7176159	7176296	1.12e-21	1391.93982520703
chr3R	18002302	18002649	1.25e-21	1388.77123795495
chr2R	21459703	21459920	1.55e-18	1183.24874984946
chr3L	7306207	7306343	3.35e-17	1094.5723303503
chrUn_DS485148v1	21	208	1.05e-06	397.223584828656
chr3R	267251	267344	0.0012	194.054997576566
chr2R	11028371	11028890	1.06e-52	3453.12393338709
chr2R	6095680	6096774	7.13e-50	3265.25005335398
chr3L	22334626	22335068	7.36e-45	2932.14117007298
chr3R	20518813	20519284	3.65e-39	2553.74598473229
chr3R	26265652	26266031	8.51e-38	2462.88216947617
chr3L	19207106	19207668	2.06e-37	2437.37390346848
chr2R	22013438	22013731	7.98e-34	2198.98332959445
chr3L	1681417	1681866	9.65e-30	1927.7462780848
chr3R	31338683	31338929	1.62e-22	1447.72848548824
chr2L	10070896	10071426	2.43e-22	1436.02923547382
chr3R	9285043	9285498	3.56e-21	1358.57225502886
chrX	5450380	5450582	6.93e-20	1272.9141309077
chr2L	8105767	8106039	1.04e-19	1261.20100548987
chr2R	12058672	12058801	1.21e-16	1057.51684941396
chr3R	20103712	20103998	3.15e-15	963.471391893958
chr2L	16673292	16673633	1.88e-14	911.925213330403
chrUn_DS483746v1	5789	5873	1.54e-07	452.611326265827
chr3L	5260338	5261116	9.91e-53	3455.06607943237
chrX	18051210	18051473	3.34e-43	2822.06119954915
chr2L	10809576	10810156	5.75e-39	2540.632674891
chr2R	15048554	15048930	5.04e-35	2278.68119174665
chr2R	13660719	13661378	4.24e-29	1885.0370097389
chr3R	26250131	26250541	1.07e-28	1858.32751720439
chr3R	30550366	30550590	4.65e-23	1483.74230932377
chr2L	1304588	1304805	5.3e-22	1413.52851455692
chrX	15432875	15433044	1.11e-20	1325.76004442344
chr2R	19202076	19202273	1.24e-18	1189.68731174721
chrX	22746213	22746787	7.4e-16	1005.26648494912
chr3R	18077892	18078070	1.27e-11	723.927610935271
chr3R	14252377	14252803	3.01e-11	699.02891113552
chrUn_DS483641v1	12740	12972	3.86e-06	359.659354436616
chr3R	11851579	11851970	2.48e-39	2564.8971115999
chr3R	14188338	14189006	4.2e-33	2151.06475606783
chr2L	17075982	17076286	2.45e-30	1967.30122194786
chr3R	19520633	19521206	3.26e-30	1959.05941764329
chr3L	9521735	9522097	1.36e-29	1917.84616200516
chr3R	29959137	29959411	5.5e-28	1811.09110076418
chr3R	25808914	25809481	2.93e-27	1762.82315794623
chr3R	25131541	25131644	1.16e-26	1723.12011323437
chr3R	7453005	7453290	1.61e-24	1580.78427177914
chr2L	8622374	8622634	1.69e-24	1579.38502061578
chr2L	1887593	1888256	2.23e-24	1571.38461134302
chr3R	12731879	12732065	1.25e-19	1255.89411415945
chrX	2753285	2753480	1.94e-17	1110.33441921346
chr3R	15058760	15059124	8.84e-15	933.697501073875
chrUn_CP007077v1	33144	33288	0.000354	229.279260384824
chr3R	20719559	20719978	1.07e-45	2987.7830694661
chr2L	16618305	16618917	1.23e-43	2850.88499529184
chrX	5854661	5855336	1.07e-39	2589.15169807961
chr3L	9565721	9566087	1.52e-32	2113.95255425453
chr3L	19414631	19414989	2.32e-31	2035.31292272311
chr2R	10698515	10698810	4.22e-31	2018.05055885152
chrX	18740978	18741591	2.32e-27	1769.55867513212
chr3R	8850526	8851039	3.12e-25	1628.13312686193
chr2R	19597308	19598129	4.37e-24	1551.97281995142
chr3R	7357960	7358130	4.52e-20	1285.24478250214
chr3L	16753568	16753957	7.97e-20	1268.87964347063
chr3L	5847071	5847275	1.56e-19	1249.50175547545
chr2L	20129498	20129724	9.92e-19	1196.12587364495
chr3L	963604	964150	1.44e-56	3710.03809004049
chr2R	8824155	8824862	1.06e-44	2921.61543820511
chr2L	12796186	12796750	1.36e-44	2914.42459047137
chr2R	8818266	8818979	1.85e-42	2772.66909429055
chr3L	7442843	7443188	8.82e-33	2129.65696951
chr2R	22361696	22362084	1.81e-29	1909.5985010885
chr3R	31378369	31378617	1.31e-26	1719.61127310617
chrX	2838622	2838938	7.88e-22	1402.08444915681
chr3L	20047303	20047528	3.24e-21	1361.28992359049
chr3L	14915110	14915405	3.97e-21	1355.42701970533
chr2L	3181080	3181216	8e-15	936.578428466209
chrUn_CP007120v1	71812	71952	8.3e-14	869.07763983927
chrX	2550622	2550788	2.15e-13	841.61457147442
chrX	19995632	19996006	1.33e-09	589.718532165196
chrUn_DS483944v1	3325	3470	0.0116	128.594627688438
chr2L	17875595	17876097	1.73e-42	2774.60415894814
chr2L	3980166	3980813	2.31e-38	2500.50749508157
chrX	3235354	3235665	1.7e-27	1778.53047631192
chr2R	15461770	15461954	4.35e-20	1286.35092993572
chr3L	9531505	9531974	3.3e-19	1227.88335556778
chr3R	30530599	30530863	3.31e-18	1161.3574898188
chr3R	17520943	17521080	4.56e-16	1019.23631387616
chr2L	11563098	11563569	3.52e-15	960.266919888957
chr3R	13618577	13618755	4.46e-14	886.99899236555
chrX	1988609	1989279	4.6e-51	3344.33397956172
chr3R	22591044	22591434	1.33e-44	2915.06819858635
chr2R	10700590	10701477	1.31e-41	2716.18970157238
chr2L	7160784	7161765	2.85e-35	2295.13042803561
chr3R	29449863	29450447	4.78e-32	2080.89376836379
chr3R	14549991	14550257	2.03e-29	1906.28870048646
chr2L	16584036	16584452	1.42e-28	1850.16191454232
chr2L	11708520	11708890	6.83e-25	1605.52633587337
chr3R	31328831	31329037	7.04e-25	1604.65253886643
chr3R	22915967	22916315	7.65e-24	1535.81629058983
chr3R	21905926	21906342	1.6e-16	1049.4555522617
chrX	20870823	20870922	1.89e-15	978.210703777282
chr2R	17918652	17918799	2.91e-15	965.758045403538
chrUn_CP007120v1	47610	47708	2.47e-13	837.611083834515
chr3L	13364692	13364956	4.33e-12	754.975402273927
chr3R	12945117	12945467	1.28e-09	590.82418087522
chr2L	12933272	12933827	1.77e-49	3239.01454578345
chr2L	1575045	1575695	6.96e-47	3066.63066307264
chr3R	25405655	25406192	4.72e-45	2944.95954820688
chrX	11252170	11252780	1.85e-39	2573.35340859731
chr2L	8282657	8283182	2.53e-38	2497.882604416
chr2R	21113912	21114471	1.07e-37	2456.27457428412
chr3R	30265273	30265544	3.12e-33	2159.64162204391
chr2R	6105091	6105399	2.87e-32	2095.61296598989
chr3L	8249511	8249975	1.39e-31	2050.09372117119
chr3L	8924800	8925299	1.55e-31	2046.95005452017
chr3R	25975578	25976099	2.37e-30	1968.25911574995
chr2L	13492530	13493115	3.64e-30	1955.87808792394
chrX	14511647	14511950	9.69e-29	1861.18836172186
chr3L	19213035	19213524	8.16e-28	1799.70835009299
chr3L	7039401	7040097	5e-26	1680.96404744368
chr3R	15031929	15032151	8.87e-26	1664.4239272509
chr3R	28386240	28386934	7.45e-23	1470.14211513669
chr2R	15637743	15638224	3.42e-22	1426.16843524822
chr2R	16990303	16990664	3.98e-22	1421.79299313506
chr3R	22590521	22590658	9.64e-22	1396.26769882133
chr3L	15704616	15704821	1.55e-20	1316.12587364495
chr2L	7092600	7092795	1.68e-20	1313.80201329486
chr2R	15589257	15589566	1.68e-20	1313.80201329486
chrX	2760993	2761330	3.8e-20	1290.25124958382
chr3L	10495913	10496243	1.46e-19	1251.41330867509
chrX	15289411	15289677	4.16e-18	1154.76244359212
chrX	14435493	14435666	1.64e-16	1048.74307406709
chr3L	1286592	1286888	4.56e-16	1019.23631387616
chr2R	19872405	19872822	2.87e-15	966.157413728189
chrX	5485538	5485906	7.49e-15	938.479114092528
chrX	11196681	11196821	3.26e-13	829.603865381587
chrX	2555435	2555638	6.61e-08	477.015489747319
chr3L	2617463	2618618	4.52e-55	3610.59444892329
chr3R	13500186	13501091	4.22e-48	3147.50611111322
chr3L	10729351	10729776	3.13e-43	2823.93490845997
chr3L	964305	964789	1.24e-42	2784.21279729314
chr3L	2905599	2906160	9.89e-38	2458.54594169471
chrX	20075219	20075610	8.47e-36	2330.14098892775
chr3L	5239416	5239882	1.23e-32	2120.06081441662
chr2L	17836201	17836404	4.99e-23	1481.70612733694
chrX	17021328	17021566	9.64e-22	1396.26769882133
chr2L	13767349	13767843	2.61e-21	1367.52880371679
chr2R	16965630	16965919	2.93e-20	1297.75322466199
chr2L	4237769	4237975	1.49e-18	1184.3878675457
chr2L	17234140	17234472	2.61e-18	1168.21311802355
chr3R	20691138	20691766	4.18e-17	1088.18549341558
chr3L	5999625	5999750	1.86e-16	1045.11093793729
chrUn_DS484258v1	1037	1139	1.42e-06	388.513552791884
chr3R	486712	486844	1.92e-05	313.370683269808
chr3R	174844	175133	0.000199	245.898878975611
chr3L	22335228	22336238	9.17e-53	3457.3053459042
chr2L	18234431	18235222	1.28e-39	2583.98103780764
chr3R	30977479	30978303	4.12e-35	2284.49677967298
chr3R	28064292	28064600	4.46e-29	1883.57742083176
chr3L	14882532	14883036	2.2e-27	1771.09110076418
chr3R	28033172	28033393	1.27e-20	1321.874668015
chrX	6204866	6205163	2.64e-19	1234.32191746552
chr3L	20284841	20285284	8.65e-19	1200.07867340221
chr2L	9840235	9840555	3.23e-18	1162.06343086107
chr2L	6402335	6402613	1.97e-16	1043.45307777032
chr3R	14862860	14863044	1.77e-15	980.103441260043
chr2L	10716889	10717236	2.14e-11	708.871964942691
chrX	11196177	11196273	2.77e-08	502.110775656489
chrUn_DS483746v1	1763	1959	4.37e-06	356.078705791966
chr3R	6552857	6553486	4.8e-37	2412.96610209997
chr3R	31643951	31644761	1.21e-36	2386.2880873689
chr2L	18344662	18345279	6.65e-35	2270.68257960888
chr3L	18730023	18730395	1.39e-32	2116.53228306894
chr3L	8244587	8244876	7.21e-22	1404.64837656112
chr2L	1799501	1799666	2.91e-21	1364.38941679002
chr3R	13194335	13194568	6.04e-20	1276.88026696394
chrX	19106697	19106906	1.28e-19	1255.20979985269
chrX	18296066	18296565	3.02e-19	1230.44170506619
chr2R	23724862	23725083	2.16e-16	1040.79636411618
chrX	10196314	10196449	2.34e-16	1038.48681976778
chr3L	4777134	4777303	2.63e-16	1035.1157343736
